arc_id,origin_id,origin_type,origin_name,destination_id,destination_type,destination_name,proxy_km,osrm_km,osrm_duration_min,route_profile,osrm_query_date,proxy_quality_flag,osrm_quality_flag
A0001,GD01,source,广州,C01,collection,广州虚拟回收/检测中心,0.0,0.0,0.0,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0002,GD01,source,广州,C02,collection,深圳虚拟回收/检测中心,125.09932920710673,141.4812,94.66833333333334,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0003,GD01,source,广州,C03,collection,珠海虚拟回收/检测中心,120.43690722365889,127.8165,94.055,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0004,GD01,source,广州,C04,collection,汕头虚拟回收/检测中心,420.22799394481007,414.9252,289.405,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0005,GD01,source,广州,C05,collection,佛山虚拟回收/检测中心,22.448811015599897,25.4265,23.546666666666667,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0006,GD01,source,广州,C06,collection,韶关虚拟回收/检测中心,237.03724939624288,232.97320000000002,167.92833333333334,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0007,GD01,source,广州,C07,collection,河源虚拟回收/检测中心,255.35449854690705,275.0163,213.30166666666668,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0008,GD01,source,广州,C08,collection,梅州虚拟回收/检测中心,382.1027064948506,383.8924,269.1616666666667,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0009,GD01,source,广州,C09,collection,惠州虚拟回收/检测中心,141.59962050860264,138.7404,98.4,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0010,GD01,source,广州,C10,collection,汕尾虚拟回收/检测中心,276.7760629013141,274.5215,207.79166666666666,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0011,GD01,source,广州,C11,collection,东莞虚拟回收/检测中心,61.48835744881942,63.2176,48.34666666666667,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0012,GD01,source,广州,C12,collection,中山虚拟回收/检测中心,82.79613442153406,85.1917,63.93,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0013,GD01,source,广州,C13,collection,江门虚拟回收/检测中心,76.3956958586808,81.83030000000001,64.17833333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0014,GD01,source,广州,C14,collection,阳江虚拟回收/检测中心,228.13253822875888,251.0879,169.08333333333334,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0015,GD01,source,广州,C15,collection,湛江虚拟回收/检测中心,435.86375186529995,415.4794,278.76500000000004,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0016,GD01,source,广州,C16,collection,茂名虚拟回收/检测中心,348.28546413377285,334.73,227.67999999999998,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0017,GD01,source,广州,C17,collection,肇庆虚拟回收/检测中心,98.58397364775895,97.76219999999999,78.89666666666668,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0018,GD01,source,广州,C18,collection,清远虚拟回收/检测中心,78.25907590976536,78.0213,59.126666666666665,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0019,GD01,source,广州,C19,collection,潮州虚拟回收/检测中心,417.6343351726079,409.614,281.7916666666667,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0020,GD01,source,广州,C20,collection,揭阳虚拟回收/检测中心,385.08202812819275,376.69829999999996,263.77000000000004,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0021,GD01,source,广州,C21,collection,云浮虚拟回收/检测中心,181.95921019073626,184.6334,133.07333333333332,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0022,GD02,source,深圳,C01,collection,广州虚拟回收/检测中心,125.09932920710673,135.1178,93.51,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0023,GD02,source,深圳,C02,collection,深圳虚拟回收/检测中心,0.0,0.0,0.0,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0024,GD02,source,深圳,C03,collection,珠海虚拟回收/检测中心,69.62293789389439,102.4739,87.705,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0025,GD02,source,深圳,C04,collection,汕头虚拟回收/检测中心,340.00628858069996,331.2585,229.19833333333332,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0026,GD02,source,深圳,C05,collection,佛山虚拟回收/检测中心,132.00168158093638,132.89079999999998,100.74833333333332,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0027,GD02,source,深圳,C06,collection,韶关虚拟回收/检测中心,306.47442199910176,337.2787,235.21666666666667,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0028,GD02,source,深圳,C07,collection,河源虚拟回收/检测中心,241.38401680373065,251.40970000000002,196.81666666666666,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0029,GD02,source,深圳,C08,collection,梅州虚拟回收/检测中心,343.699494537765,344.454,250.01666666666668,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0030,GD02,source,深圳,C09,collection,惠州虚拟回收/检测中心,87.65338268455065,88.19930000000001,71.375,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0031,GD02,source,深圳,C10,collection,汕尾虚拟回收/检测中心,189.62625214547197,186.97289999999998,148.00833333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0032,GD02,source,深圳,C11,collection,东莞虚拟回收/检测中心,73.7874966555125,74.1049,55.56333333333334,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
