option_id,collection_id,name,city,mode,lon,lat,capacity_tons,min_throughput_tons,fixed_cost_yuan_per_year,unit_processing_cost_yuan_per_ton,parameter_quality,notes
C01_E,C01,广州虚拟回收/检测中心,广州,entrusted,113.2589581,23.1288429,3000,300,170126.5398273678,1200.0,D-contract scenario,Contract fixed fee is 30% of self-build fixed cost; unit fee is scenario value
C01_S,C01,广州虚拟回收/检测中心,广州,self_build,113.2589581,23.1288429,3000,300,567088.466091226,800.0,A-名单或D-虚拟节点；C/D-成本容量,Workbook annualized self-build scenario
C02_E,C02,深圳虚拟回收/检测中心,深圳,entrusted,114.0545429,22.5445741,3000,300,170126.5398273678,1200.0,D-contract scenario,Contract fixed fee is 30% of self-build fixed cost; unit fee is scenario value
C02_S,C02,深圳虚拟回收/检测中心,深圳,self_build,114.0545429,22.5445741,3000,300,567088.466091226,800.0,A-名单或D-虚拟节点；C/D-成本容量,Workbook annualized self-build scenario
C03_E,C03,珠海虚拟回收/检测中心,珠海,entrusted,113.5721327,22.273734,3000,300,170126.5398273678,1200.0,D-contract scenario,Contract fixed fee is 30% of self-build fixed cost; unit fee is scenario value
C03_S,C03,珠海虚拟回收/检测中心,珠海,self_build,113.5721327,22.273734,3000,300,567088.466091226,800.0,A-名单或D-虚拟节点；C/D-成本容量,Workbook annualized self-build scenario
C04_E,C04,汕头虚拟回收/检测中心,汕头,entrusted,116.6775856,23.3563921,3000,300,170126.5398273678,1200.0,D-contract scenario,Contract fixed fee is 30% of self-build fixed cost; unit fee is scenario value
C04_S,C04,汕头虚拟回收/检测中心,汕头,self_build,116.6775856,23.3563921,3000,300,567088.466091226,800.0,A-名单或D-虚拟节点；C/D-成本容量,Workbook annualized self-build scenario
C05_E,C05,佛山虚拟回收/检测中心,佛山,entrusted,113.1159558,23.0239788,3000,300,170126.5398273678,1200.0,D-contract scenario,Contract fixed fee is 30% of self-build fixed cost; unit fee is scenario value
C05_S,C05,佛山虚拟回收/检测中心,佛山,self_build,113.1159558,23.0239788,3000,300,567088.466091226,800.0,A-名单或D-虚拟节点；C/D-成本容量,Workbook annualized self-build scenario
C06_E,C06,韶关虚拟回收/检测中心,韶关,entrusted,113.8155263,24.8309489,3000,300,170126.5398273678,1200.0,D-contract scenario,Contract fixed fee is 30% of self-build fixed cost; unit fee is scenario value
C06_S,C06,韶关虚拟回收/检测中心,韶关,self_build,113.8155263,24.8309489,3000,300,567088.466091226,800.0,A-名单或D-虚拟节点；C/D-成本容量,Workbook annualized self-build scenario
C07_E,C07,河源虚拟回收/检测中心,河源,entrusted,115.0577538,24.1014769,3000,300,170126.5398273678,1200.0,D-contract scenario,Contract fixed fee is 30% of self-build fixed cost; unit fee is scenario value
C07_S,C07,河源虚拟回收/检测中心,河源,self_build,115.0577538,24.1014769,3000,300,567088.466091226,800.0,A-名单或D-虚拟节点；C/D-成本容量,Workbook annualized self-build scenario
C08_E,C08,梅州虚拟回收/检测中心,梅州,entrusted,116.1171428,24.2918414,3000,300,170126.5398273678,1200.0,D-contract scenario,Contract fixed fee is 30% of self-build fixed cost; unit fee is scenario value
