facility_id,physical_id,name,type,lon,lat,capacity_tons,shared_capacity_tons,min_throughput_tons,fixed_cost_yuan_per_year,raw_fixed_equivalent_yuan_per_year,unit_processing_cost_yuan_per_ton,existing,must_open,city,coordinate_quality,parameter_quality,source_url,notes
P01,P01,汕尾比亚迪废旧动力电池回收项目,recycling,115.3492668,22.838065,10000,10000,0,1561860.0,1561860.0,12621,1,1,汕尾,红草镇级代理,A-容量/投资；D-运营参数,https://www.shanwei.gov.cn/swhbj/493/506/content/post_526956.html,既有设施：固定成本仅计4%运维；若研究扩建，另启用新建等价成本
P02E,P02,广东光华科技股份有限公司（梯次功能）,echelon,116.6775856,23.3563921,3000,10000,300,141772.11652280652,1417721.165228065,5500,0,0,汕头,城市级代理,A-名单或D-虚拟节点；C/D-成本容量,https://www.miit.gov.cn/jgsj/jns/gzdt/art/2020/art_4340b1ff730f47b79c37c62a77f06ef9.html,所有非公开企业字段均为可替换情景值; contract access cost set at 10% of full annualized equivalent
P02R,P02,广东光华科技股份有限公司（再生功能）,recycling,116.6775856,23.3563921,10000,10000,1000,738093.9930410353,7380939.930410353,12621,0,0,汕头,城市级代理,A-名单或D-虚拟节点；C/D-成本容量,https://www.miit.gov.cn/jgsj/jns/gzdt/art/2020/art_4340b1ff730f47b79c37c62a77f06ef9.html,所有非公开企业字段均为可替换情景值; contract access cost set at 10% of full annualized equivalent
P03,P03,深圳深汕特别合作区乾泰技术有限公司,echelon,115.5099937,23.0123639,3000,3000,300,141772.11652280652,1417721.165228065,5500,0,0,汕尾,城市级代理,A-名单或D-虚拟节点；C/D-成本容量,https://wap.miit.gov.cn/jgsj/jns/gzdt/art/2021/art_d84563327a33454f9f54d164cfde859b.html,所有非公开企业字段均为可替换情景值; contract access cost set at 10% of full annualized equivalent
P04,P04,珠海中力新能源科技有限公司,echelon,113.5721327,22.273734,3000,3000,300,141772.11652280652,1417721.165228065,5500,0,0,珠海,城市级代理,A-名单或D-虚拟节点；C/D-成本容量,https://wap.miit.gov.cn/jgsj/jns/gzdt/art/2021/art_d84563327a33454f9f54d164cfde859b.html,所有非公开企业字段均为可替换情景值; contract access cost set at 10% of full annualized equivalent
P05,P05,惠州市恒创睿能环保科技有限公司,echelon,114.4127007,23.1125153,3000,3000,300,141772.11652280652,1417721.165228065,5500,0,0,惠州,城市级代理,A-名单或D-虚拟节点；C/D-成本容量,https://wap.miit.gov.cn/jgsj/jns/gzdt/art/2021/art_d84563327a33454f9f54d164cfde859b.html,所有非公开企业字段均为可替换情景值; contract access cost set at 10% of full annualized equivalent
P06,P06,江门市朗达锂电池有限公司,echelon,113.0761073,22.5816619,3000,3000,300,141772.11652280652,1417721.165228065,5500,0,0,江门,城市级代理,A-名单或D-虚拟节点；C/D-成本容量,https://www.miit.gov.cn/jgsj/jns/zhlyh/art/2021/art_617843b5857c463dac604b8ef8f19ba9.html,所有非公开企业字段均为可替换情景值; contract access cost set at 10% of full annualized equivalent
P07,P07,广东迪度新能源有限公司,echelon,113.7452332,23.0183568,3000,3000,300,141772.11652280652,1417721.165228065,5500,0,0,东莞,城市级代理,A-名单或D-虚拟节点；C/D-成本容量,https://www.miit.gov.cn/jgsj/jns/zhlyh/art/2021/art_617843b5857c463dac604b8ef8f19ba9.html,所有非公开企业字段均为可替换情景值; contract access cost set at 10% of full annualized equivalent
P08,P08,东莞市博森新能源有限公司,echelon,113.7452332,23.0183568,3000,3000,300,141772.11652280652,1417721.165228065,5500,0,0,东莞,城市级代理,A-名单或D-虚拟节点；C/D-成本容量,https://www.miit.gov.cn/zwgk/zcwj/wjfb/gg/art/2022/art_751a83c5cae9443087ecfc5cb16e3be5.html,所有非公开企业字段均为可替换情景值; contract access cost set at 10% of full annualized equivalent
P09,P09,广东宇阳新能源有限公司,echelon,113.7452332,23.0183568,3000,3000,300,141772.11652280652,1417721.165228065,5500,0,0,东莞,城市级代理,A-名单或D-虚拟节点；C/D-成本容量,https://www.miit.gov.cn/zwgk/zcwj/wjfb/gg/art/2022/art_751a83c5cae9443087ecfc5cb16e3be5.html,所有非公开企业字段均为可替换情景值; contract access cost set at 10% of full annualized equivalent
P10,P10,广州广汽商贸再生资源有限公司,echelon,113.2589581,23.1288429,3000,3000,300,141772.11652280652,1417721.165228065,5500,0,0,广州,城市级代理,A-名单或D-虚拟节点；C/D-成本容量,https://www.miit.gov.cn/zwgk/zcwj/wjfb/gg/art/2022/art_751a83c5cae9443087ecfc5cb16e3be5.html,所有非公开企业字段均为可替换情景值; contract access cost set at 10% of full annualized equivalent
