scenario,distance_source,option_id,collection_id,city,mode,throughput_tons,capacity_tons,utilization,lon,lat
baseline,osrm,C02_S,C02,深圳,self_build,2588.8392044104803,3000.0,0.8629464014701601,114.0545429,22.5445741
baseline,osrm,C17_E,C17,肇庆,entrusted,300.0,3000.0,0.1,112.4603629,23.0501661
baseline,osrm,C20_E,C20,揭阳,entrusted,322.1513425502184,3000.0,0.10738378085007279,116.3680354,23.553156
proxy_baseline,proxy,C02_S,C02,深圳,self_build,2342.4287197554586,3000.0,0.7808095732518195,114.0545429,22.5445741
proxy_baseline,proxy,C08_E,C08,梅州,entrusted,306.219220716157,3000.0,0.10207307357205234,116.1171428,24.2918414
proxy_baseline,proxy,C09_E,C09,惠州,entrusted,300.0,3000.0,0.1,114.4127007,23.1125153
proxy_baseline,proxy,C17_E,C17,肇庆,entrusted,299.99999999999994,3000.0,0.09999999999999998,112.4603629,23.0501661
split_node_legacy,osrm,C02_S,C02,深圳,self_build,2588.8392044104803,3000.0,0.8629464014701601,114.0545429,22.5445741
split_node_legacy,osrm,C17_E,C17,肇庆,entrusted,300.0,3000.0,0.1,112.4603629,23.0501661
split_node_legacy,osrm,C20_E,C20,揭阳,entrusted,322.1513425502184,3000.0,0.10738378085007279,116.3680354,23.553156
local_generic,osrm,C02_S,C02,深圳,self_build,2927.0109999999995,3000.0,0.9756703333333332,114.0545429,22.5445741
local_generic,osrm,C05_S,C05,佛山,self_build,3000.0,3000.0,1.0,113.1159558,23.0239788
local_generic,osrm,C13_S,C13,江门,self_build,2864.4490000000014,3000.0,0.9548163333333338,113.0761073,22.5816619
local_capture,osrm,C02_S,C02,深圳,self_build,1230.8044000000002,3000.0,0.4102681333333334,114.0545429,22.5445741
local_capture,osrm,C05_S,C05,佛山,self_build,1985.7795999999998,3000.0,0.6619265333333333,113.1159558,23.0239788
local_capture,osrm,C11_S,C11,东莞,self_build,300.00000000000006,3000.0,0.10000000000000002,113.7452332,23.0183568
local_arcs,osrm,C02_S,C02,深圳,self_build,1376.7848657205238,3000.0,0.4589282885735079,114.0545429,22.5445741
local_arcs,osrm,C17_S,C17,肇庆,self_build,1512.0543376899566,3000.0,0.5040181125633189,112.4603629,23.0501661
local_arcs,osrm,C20_S,C20,揭阳,self_build,322.1513385502184,3000.0,0.10738377951673946,116.3680354,23.553156
local_ownership,osrm,C01_S,C01,广州,self_build,2588.8392044104803,3000.0,0.8629464014701601,113.2589581,23.1288429
local_ownership,osrm,C17_E,C17,肇庆,entrusted,300.0,3000.0,0.1,112.4603629,23.0501661
local_ownership,osrm,C20_E,C20,揭阳,entrusted,322.1513425502184,3000.0,0.10738378085007279,116.3680354,23.553156
demand_low,osrm,C02_E,C02,深圳,entrusted,481.6296319510919,3000.0,0.16054321065036395,114.0545429,22.5445741
demand_low,osrm,C09_E,C09,惠州,entrusted,300.0,3000.0,0.1,114.4127007,23.1125153
demand_low,osrm,C17_E,C17,肇庆,entrusted,420.8774941275109,3000.0,0.14029249804250363,112.4603629,23.0501661
demand_high,osrm,C02_S,C02,深圳,self_build,3000.0000000000005,3000.0,1.0000000000000002,114.0545429,22.5445741
demand_high,osrm,C08_E,C08,梅州,entrusted,300.0,3000.0,0.1,116.1171428,24.2918414
demand_high,osrm,C09_S,C09,惠州,self_build,3000.0,3000.0,1.0,114.4127007,23.1125153
demand_high,osrm,C16_E,C16,茂名,entrusted,626.4343907947599,3000.0,0.2088114635982533,110.9209511,21.6656961
demand_high,osrm,C17_S,C17,肇庆,self_build,1784.0320393362438,3000.0,0.5946773464454146,112.4603629,23.0501661
demand_high,osrm,C20_E,C20,揭阳,entrusted,510.0859705152839,3000.0,0.17002865683842797,116.3680354,23.553156
spatial_s1,osrm,C02_S,C02,深圳,self_build,2353.6081198769657,3000.0,0.7845360399589886,114.0545429,22.5445741
spatial_s1,osrm,C16_E,C16,茂名,entrusted,338.33188775498184,3000.0,0.11277729591832727,110.9209511,21.6656961
spatial_s1,osrm,C17_E,C17,肇庆,entrusted,300.0,3000.0,0.1,112.4603629,23.0501661
spatial_s1,osrm,C20_E,C20,揭阳,entrusted,407.28101266876445,3000.0,0.13576033755625483,116.3680354,23.553156
spatial_s2,osrm,C02_S,C02,深圳,self_build,2494.7467705970753,3000.0,0.8315822568656918,114.0545429,22.5445741
spatial_s2,osrm,C17_E,C17,肇庆,entrusted,300.0,3000.0,0.1,112.4603629,23.0501661
spatial_s2,osrm,C20_E,C20,揭阳,entrusted,356.2032105976368,3000.0,0.11873440353254561,116.3680354,23.553156
capture_low,osrm,C02_E,C02,深圳,entrusted,590.6978134934498,3000.0,0.19689927116448325,114.0545429,22.5445741
capture_low,osrm,C09_E,C09,惠州,entrusted,365.5915204270823,3000.0,0.12186384014236076,114.4127007,23.1125153
capture_low,osrm,C17_E,C17,肇庆,entrusted,514.925025957191,3000.0,0.17164167531906366,112.4603629,23.0501661
capture_high,osrm,C02_S,C02,深圳,self_build,2878.366233720522,3000.0,0.959455411240174,114.0545429,22.5445741
capture_high,osrm,C16_E,C16,茂名,entrusted,355.1960988602618,3000.0,0.11839869962008727,110.9209511,21.6656961
capture_high,osrm,C17_S,C17,肇庆,self_build,1454.8925728951929,3000.0,0.48496419096506427,112.4603629,23.0501661
capture_high,osrm,C20_E,C20,揭阳,entrusted,483.2270138253276,3000.0,0.16107567127510922,116.3680354,23.553156
scale_low_combo,osrm,C02_E,C02,深圳,entrusted,387.1885174847163,3000.0,0.1290628391615721,114.0545429,22.5445741
scale_low_combo,osrm,C06_E,C06,韶关,entrusted,6.362849275109171,3000.0,0.002120949758369724,113.8155263,24.8309489
scale_low_combo,osrm,C07_E,C07,河源,entrusted,7.694882078602619,3000.0,0.0025649606928675396,115.0577538,24.1014769
scale_low_combo,osrm,C16_E,C16,茂名,entrusted,48.386993729257654,3000.0,0.01612899790975255,110.9209511,21.6656961
scale_low_combo,osrm,C17_E,C17,肇庆,entrusted,203.1146062707422,3000.0,0.06770486875691406,112.4603629,23.0501661
scale_low_combo,osrm,C20_E,C20,揭阳,entrusted,65.82815116157207,3000.0,0.021942717053857357,116.3680354,23.553156
scale_stress_combo,osrm,C01_S,C01,广州,self_build,2676.048059004367,3000.0,0.8920160196681224,113.2589581,23.1288429
scale_stress_combo,osrm,C02_S,C02,深圳,self_build,3000.0,3000.0,1.0,114.0545429,22.5445741
scale_stress_combo,osrm,C04_E,C04,汕头,entrusted,881.7926551703057,3000.0,0.29393088505676856,116.6775856,23.3563921
scale_stress_combo,osrm,C08_E,C08,梅州,entrusted,333.3363006026201,3000.0,0.11111210020087336,116.1171428,24.2918414
scale_stress_combo,osrm,C09_S,C09,惠州,self_build,3000.0,3000.0,1.0,114.4127007,23.1125153
scale_stress_combo,osrm,C16_E,C16,茂名,entrusted,939.6515861921398,3000.0,0.3132171953973799,110.9209511,21.6656961
scale_stress_combo,osrm,C17_S,C17,肇庆,self_build,3000.0000000000005,3000.0,1.0000000000000002,112.4603629,23.0501661
transport_low,osrm,C02_S,C02,深圳,self_build,2588.8392044104803,3000.0,0.8629464014701601,114.0545429,22.5445741
transport_low,osrm,C17_E,C17,肇庆,entrusted,299.99999999999994,3000.0,0.09999999999999998,112.4603629,23.0501661
transport_low,osrm,C20_E,C20,揭阳,entrusted,322.1513425502184,3000.0,0.10738378085007279,116.3680354,23.553156
transport_high,osrm,C02_S,C02,深圳,self_build,2588.8392044104803,3000.0,0.8629464014701601,114.0545429,22.5445741
transport_high,osrm,C17_E,C17,肇庆,entrusted,300.0,3000.0,0.1,112.4603629,23.0501661
transport_high,osrm,C20_E,C20,揭阳,entrusted,322.1513425502184,3000.0,0.10738378085007279,116.3680354,23.553156
transport_double,osrm,C02_S,C02,深圳,self_build,2588.8392044104803,3000.0,0.8629464014701601,114.0545429,22.5445741
transport_double,osrm,C17_E,C17,肇庆,entrusted,300.0,3000.0,0.1,112.4603629,23.0501661
transport_double,osrm,C20_E,C20,揭阳,entrusted,322.1513425502184,3000.0,0.10738378085007279,116.3680354,23.553156
transport_fivefold,osrm,C02_S,C02,深圳,self_build,2588.8392044104758,3000.0,0.8629464014701586,114.0545429,22.5445741
transport_fivefold,osrm,C17_E,C17,肇庆,entrusted,299.9999999999996,3000.0,0.09999999999999987,112.4603629,23.0501661
transport_fivefold,osrm,C20_E,C20,揭阳,entrusted,322.1513425502184,3000.0,0.10738378085007279,116.3680354,23.553156
radius_tight,osrm,C05_E,C05,佛山,entrusted,300.0,3000.0,0.1,113.1159558,23.0239788
radius_tight,osrm,C11_S,C11,东莞,self_build,1988.8392044104803,3000.0,0.6629464014701602,113.7452332,23.0183568
radius_tight,osrm,C12_E,C12,中山,entrusted,299.99999999999994,3000.0,0.09999999999999998,113.3872302,22.5197073
radius_tight,osrm,C17_E,C17,肇庆,entrusted,300.0,3000.0,0.1,112.4603629,23.0501661
radius_loose,osrm,C13_S,C13,江门,self_build,2656.1840914497816,3000.0,0.8853946971499272,113.0761073,22.5816619
radius_loose,osrm,C18_E,C18,清远,entrusted,300.0,3000.0,0.1,113.0505994,23.6832984
radius_loose,osrm,C20_E,C20,揭阳,entrusted,359.8087360611351,3000.0,0.1199362453537117,116.3680354,23.553156
road_factor_low,proxy,C09_S,C09,惠州,self_build,2684.8541672227084,3000.0,0.8949513890742361,114.4127007,23.1125153
road_factor_low,proxy,C17_E,C17,肇庆,entrusted,300.0,3000.0,0.1,112.4603629,23.0501661
road_factor_low,proxy,C20_E,C20,揭阳,entrusted,300.0,3000.0,0.1,116.3680354,23.553156
road_factor_high,proxy,C02_S,C02,深圳,self_build,2588.8392044104794,3000.0,0.8629464014701598,114.0545429,22.5445741
road_factor_high,proxy,C17_E,C17,肇庆,entrusted,300.0,3000.0,0.1,112.4603629,23.0501661
road_factor_high,proxy,C20_E,C20,揭阳,entrusted,322.1513425502184,3000.0,0.10738378085007279,116.3680354,23.553156
organization_self,osrm,C02_S,C02,深圳,self_build,1764.9925137242362,3000.0,0.5883308379080787,114.0545429,22.5445741
organization_self,osrm,C17_S,C17,肇庆,self_build,1123.8466896862444,3000.0,0.3746155632287481,112.4603629,23.0501661
organization_self,osrm,C20_S,C20,揭阳,self_build,322.1513385502184,3000.0,0.10738377951673946,116.3680354,23.553156
organization_entrusted,osrm,C02_E,C02,深圳,entrusted,1764.992513724236,3000.0,0.5883308379080787,114.0545429,22.5445741
organization_entrusted,osrm,C17_E,C17,肇庆,entrusted,1123.8466896862446,3000.0,0.3746155632287482,112.4603629,23.0501661
organization_entrusted,osrm,C20_E,C20,揭阳,entrusted,322.1513385502184,3000.0,0.10738377951673946,116.3680354,23.553156
self_build_cost_low,osrm,C02_S,C02,深圳,self_build,1764.992512974236,3000.0,0.5883308376580787,114.0545429,22.5445741
self_build_cost_low,osrm,C17_S,C17,肇庆,self_build,1123.8466914362443,3000.0,0.37461556381208144,112.4603629,23.0501661
self_build_cost_low,osrm,C20_S,C20,揭阳,self_build,322.1513425502184,3000.0,0.10738378085007279,116.3680354,23.553156
self_build_cost_high,osrm,C02_E,C02,深圳,entrusted,1764.992512974236,3000.0,0.5883308376580787,114.0545429,22.5445741
self_build_cost_high,osrm,C17_E,C17,肇庆,entrusted,1123.8466914362443,3000.0,0.37461556381208144,112.4603629,23.0501661
self_build_cost_high,osrm,C20_E,C20,揭阳,entrusted,322.1513425502184,3000.0,0.10738378085007279,116.3680354,23.553156
collection_capacity_low,osrm,C02_E,C02,深圳,entrusted,910.9905469606977,1000.0,0.9109905469606977,114.0545429,22.5445741
collection_capacity_low,osrm,C09_S,C09,惠州,self_build,1000.0,1000.0,1.0,114.4127007,23.1125153
collection_capacity_low,osrm,C17_S,C17,肇庆,self_build,1000.0,1000.0,1.0,112.4603629,23.0501661
collection_capacity_low,osrm,C20_E,C20,揭阳,entrusted,300.00000000000006,1000.0,0.30000000000000004,116.3680354,23.553156
collection_capacity_high,osrm,C02_S,C02,深圳,self_build,2588.8392044104803,5000.0,0.517767840882096,114.0545429,22.5445741
collection_capacity_high,osrm,C17_E,C17,肇庆,entrusted,300.0,5000.0,0.06,112.4603629,23.0501661
collection_capacity_high,osrm,C20_E,C20,揭阳,entrusted,322.1513425502184,5000.0,0.06443026851004367,116.3680354,23.553156
collection_minimum_zero,osrm,C06_E,C06,韶关,entrusted,31.138660288209607,3000.0,0.010379553429403202,113.8155263,24.8309489
collection_minimum_zero,osrm,C07_E,C07,河源,entrusted,37.657393510917025,3000.0,0.012552464503639008,115.0577538,24.1014769
collection_minimum_zero,osrm,C11_S,C11,东莞,self_build,2820.7687339912663,3000.0,0.9402562446637555,113.7452332,23.0183568
collection_minimum_zero,osrm,C16_E,C16,茂名,entrusted,236.79739924017468,3000.0,0.07893246641339156,110.9209511,21.6656961
collection_minimum_zero,osrm,C17_E,C17,肇庆,entrusted,68.07047041921398,3000.0,0.022690156806404658,112.4603629,23.0501661
collection_minimum_zero,osrm,C20_E,C20,揭阳,entrusted,322.1513425502184,3000.0,0.10738378085007279,116.3680354,23.553156
