scenario,distance_source,cost_item,cost_yuan,share
baseline,osrm,fixed_collection,907341.5457459616,0.013183790712212406
baseline,osrm,fixed_processing,1703632.1165228065,0.024753996309487415
baseline,osrm,variable_collection,2817652.974588646,0.04094086432036917
baseline,osrm,variable_processing,32522999.40347348,0.47256341283952685
baseline,osrm,transport,311536.95795838855,0.004526672532630461
baseline,osrm,expansion,0.0,0.0
baseline,osrm,emergency,30559345.303930134,0.44403126328577364
proxy_baseline,proxy,fixed_collection,1077468.0855733294,0.01638629701718234
proxy_baseline,proxy,fixed_processing,1703632.1165228065,0.025909093961237147
proxy_baseline,proxy,variable_collection,2961406.0406637555,0.045037509343001034
proxy_baseline,proxy,variable_processing,32904417.96225783,0.5004153469846521
proxy_baseline,proxy,transport,313684.13738810766,0.004770555632824209
proxy_baseline,proxy,expansion,0.0,0.0
proxy_baseline,proxy,emergency,26793605.952838432,0.40748119706110314
split_node_legacy,osrm,fixed_collection,907341.5457459616,0.013173296129569956
split_node_legacy,osrm,fixed_processing,1703632.1165228065,0.024734291592864433
split_node_legacy,osrm,variable_collection,2817652.974588646,0.040908274506601464
split_node_legacy,osrm,variable_processing,32522999.403473485,0.47218724213884605
split_node_legacy,osrm,transport,366364.80771856365,0.005319090838678348
split_node_legacy,osrm,expansion,0.0,0.0
split_node_legacy,osrm,emergency,30559345.303930134,0.44367780479343977
local_generic,osrm,fixed_collection,1701265.398273678,0.01700471328005556
local_generic,osrm,fixed_processing,1901504.3356504901,0.0190061680331181
local_generic,osrm,variable_collection,7033168.000000001,0.07029885249639489
local_generic,osrm,variable_processing,89045621.329,0.8900405904220126
local_generic,osrm,transport,365138.0060028153,0.0036496757684189637
local_generic,osrm,expansion,0.0,0.0
local_generic,osrm,emergency,0.0,0.0
local_capture,osrm,fixed_collection,1701265.398273678,0.04133111712625489
local_capture,osrm,fixed_processing,879866.1095638417,0.021375764925746922
local_capture,osrm,variable_collection,2813267.2,0.06834646508924425
local_capture,osrm,variable_processing,35618248.5316,0.865321779532717
local_capture,osrm,transport,149206.50569095052,0.003624873326036955
local_capture,osrm,expansion,0.0,0.0
local_capture,osrm,emergency,0.0,0.0
local_arcs,osrm,fixed_collection,1701265.3982736776,0.024846553042155408
