scenario,distance_source,stage,origin_id,destination_id,destination_physical_id,flow_tons,distance_km,tonne_km
baseline,osrm,source_collection,GD01,C02_S,C02,902.1803930131005,141.4812,127641.56461996507
baseline,osrm,source_collection,GD02,C02_S,C02,871.4678689956331,0.0,0.0
baseline,osrm,source_collection,GD03,C02_S,C02,106.30372375545852,102.1378,10857.628476190272
baseline,osrm,source_collection,GD04,C20_E,C20,119.38725898689955,46.2723,5524.3230640195125
baseline,osrm,source_collection,GD05,C02_S,C02,42.52526317030558,142.9087,6077.230076826249
baseline,osrm,source_collection,GD05,C17_E,C17,188.4789862270743,85.2239,16062.914274317558
baseline,osrm,source_collection,GD08,C20_E,C20,46.345198742358086,114.1457,5290.1051520855835
baseline,osrm,source_collection,GD09,C02_S,C02,133.24628544978165,88.7728,11828.645848976377
baseline,osrm,source_collection,GD10,C20_E,C20,53.58951534497817,127.7243,6844.683334776595
baseline,osrm,source_collection,GD11,C02_S,C02,265.7669875196506,74.33330000000001,19755.337213394447
baseline,osrm,source_collection,GD12,C02_S,C02,203.6240342358079,85.22619999999999,17354.10266658781
baseline,osrm,source_collection,GD13,C02_S,C02,63.72464827074236,126.4266,8056.490617065835
baseline,osrm,source_collection,GD17,C17_E,C17,39.104721205240175,0.0,0.0
baseline,osrm,source_collection,GD18,C17_E,C17,43.45054335371179,109.3077,4749.478957744522
baseline,osrm,source_collection,GD19,C20_E,C20,30.413076908296944,30.5228,928.2922638565659
baseline,osrm,source_collection,GD20,C20_E,C20,72.4162925676856,0.0,0.0
baseline,osrm,source_collection,GD21,C17_E,C17,28.9657492139738,99.117,2870.9981648414414
baseline,osrm,collection_echelon,C02_S,P14,P14,1123.846691436244,0.0,0.0
baseline,osrm,collection_recycling,C02_S,P01,P01,1464.9925129742362,159.5111,233682.5672362847
baseline,osrm,collection_recycling,C17_E,P01,P01,299.9999999999998,358.1613,107448.38999999991
baseline,osrm,collection_recycling,C20_E,P01,P01,322.1513425502184,157.7425,50816.958152227824
baseline,osrm,emergency_outsource,GD06,OUTSOURCE,OUTSOURCE,31.138660288209607,,
baseline,osrm,emergency_outsource,GD07,OUTSOURCE,OUTSOURCE,37.657393510917025,,
baseline,osrm,emergency_outsource,GD14,OUTSOURCE,OUTSOURCE,36.206226751091705,,
baseline,osrm,emergency_outsource,GD15,OUTSOURCE,OUTSOURCE,107.9007750043668,,
baseline,osrm,emergency_outsource,GD16,OUTSOURCE,OUTSOURCE,92.69039748471617,,
proxy_baseline,proxy,source_collection,GD01,C02_S,C02,902.1803930131007,125.09932920710672,112862.1619897428
proxy_baseline,proxy,source_collection,GD02,C02_S,C02,871.4678689956331,0.0,0.0
proxy_baseline,proxy,source_collection,GD03,C02_S,C02,106.30372375545852,69.62293789389439,7401.1775569159945
proxy_baseline,proxy,source_collection,GD04,C08_E,C08,119.38725898689955,142.3374058165527,16993.2727317442
proxy_baseline,proxy,source_collection,GD05,C02_S,C02,42.52526317030569,132.00168158093638,5613.406248152213
proxy_baseline,proxy,source_collection,GD05,C17_E,C17,188.4789862270742,80.57782241114403,15187.226280437644
proxy_baseline,proxy,source_collection,GD07,C08_E,C08,37.657393510917025,131.41703557689866,4948.823022757455
proxy_baseline,proxy,source_collection,GD08,C08_E,C08,46.345198742358086,0.0,0.0
proxy_baseline,proxy,source_collection,GD09,C09_E,C09,133.24628544978165,0.0,0.0
proxy_baseline,proxy,source_collection,GD10,C09_E,C09,53.58951534497817,135.3751705679002,7254.689780477524
proxy_baseline,proxy,source_collection,GD11,C02_S,C02,152.60278831441053,73.7874966555125,11260.177732371449
proxy_baseline,proxy,source_collection,GD11,C09_E,C09,113.1641992052401,82.90044805737128,9381.362818168023
proxy_baseline,proxy,source_collection,GD12,C02_S,C02,203.6240342358079,82.31192214368541,16760.68565260095
