scenario,distance_source,facility_id,name,type,city,existing,throughput_tons,capacity_tons,utilization,lon,lat
baseline,osrm,P14,格林美（深圳）循环科技有限公司,echelon,深圳,0,1123.846691436244,1500.0,0.7492311276241628,114.0545429,22.5445741
baseline,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
proxy_baseline,proxy,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1137.0267791650654,1500.0,0.7580178527767102,114.0545429,22.5445741
proxy_baseline,proxy,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
split_node_legacy,osrm,P18,中商锂新能源科技（惠州）有限公司,echelon,惠州,0,1123.8466914362443,1500.0,0.7492311276241629,114.4127007,23.1125153
split_node_legacy,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
local_generic,osrm,P11,深圳市杰成镍钴新能源科技有限公司,echelon,深圳,0,1500.0,1500.0,1.0,114.0545429,22.5445741
local_generic,osrm,P15,绿循新能源科技（佛山）有限责任公司,echelon,佛山,0,150.0,1500.0,0.1,113.1159558,23.0239788
local_generic,osrm,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,1427.0109999999995,1500.0,0.9513406666666664,114.0545429,22.5445741
local_generic,osrm,P12,江门市恒创睿能环保科技有限公司,recycling,江门,0,2864.4490000000005,5000.0,0.5728898000000001,113.0761073,22.5816619
local_generic,osrm,P21R,广东瑞科美电源技术有限公司（再生功能）,recycling,佛山,0,2850.0,5000.0,0.57,113.1159558,23.0239788
local_capture,osrm,P11,深圳市杰成镍钴新能源科技有限公司,echelon,深圳,0,1230.8044000000002,1500.0,0.8205362666666668,114.0545429,22.5445741
local_capture,osrm,P21R,广东瑞科美电源技术有限公司（再生功能）,recycling,佛山,0,2285.7796,5000.0,0.45715592,113.1159558,23.0239788
local_arcs,osrm,P05,惠州市恒创睿能环保科技有限公司,echelon,惠州,0,1123.8466896862437,1500.0,0.7492311264574958,114.4127007,23.1125153
local_arcs,osrm,P20R,广东金晟新能源股份有限公司（再生功能）,recycling,肇庆,0,2087.1438522744547,5000.0,0.41742877045489096,112.4603629,23.0501661
local_ownership,osrm,P05,惠州市恒创睿能环保科技有限公司,echelon,惠州,0,1123.8466914362443,1500.0,0.7492311276241629,114.4127007,23.1125153
local_ownership,osrm,P21R,广东瑞科美电源技术有限公司（再生功能）,recycling,佛山,0,2087.1438555244545,5000.0,0.4174287711048909,113.1159558,23.0239788
demand_low,osrm,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,420.87749412751083,1500.0,0.2805849960850072,112.4603629,23.0501661
demand_low,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,781.6296319510918,8000.0,0.09770370399388648,115.3492668,22.838065
demand_high,osrm,P06,江门市朗达锂电池有限公司,echelon,江门,0,910.4664301310038,1500.0,0.6069776200873359,113.0761073,22.5816619
demand_high,osrm,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,816.7269100951971,1500.0,0.5444846067301314,114.0545429,22.5445741
demand_high,osrm,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,1500.0,1500.0,1.0,112.4603629,23.0501661
demand_high,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,5993.359060420088,8000.0,0.749169882552511,115.3492668,22.838065
spatial_s1,osrm,P06,江门市朗达锂电池有限公司,echelon,江门,0,1189.727357105249,1500.0,0.7931515714034993,113.0761073,22.5816619
spatial_s1,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2209.4936631954624,8000.0,0.2761867078994328,115.3492668,22.838065
spatial_s2,osrm,P14,格林美（深圳）循环科技有限公司,echelon,深圳,0,1102.8324934181492,1500.0,0.7352216622787661,114.0545429,22.5445741
spatial_s2,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2048.1174877765634,8000.0,0.25601468597207044,115.3492668,22.838065
capture_low,osrm,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,514.9250259572166,1500.0,0.34328335063814436,112.4603629,23.0501661
capture_low,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,956.2893339205074,8000.0,0.11953616674006343,115.3492668,22.838065
capture_high,osrm,P06,江门市朗达锂电池有限公司,echelon,江门,0,310.0886717554582,1500.0,0.2067257811703055,113.0761073,22.5816619
capture_high,osrm,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,1499.9999999999998,1500.0,0.9999999999999999,112.4603629,23.0501661
capture_high,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,3361.5932475458503,8000.0,0.4201991559432313,115.3492668,22.838065
scale_low_combo,osrm,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,251.50159999999988,1500.0,0.16766773333333326,112.4603629,23.0501661
scale_low_combo,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,467.0744000000001,8000.0,0.05838430000000001,115.3492668,22.838065
scale_stress_combo,osrm,P02E,广东光华科技股份有限公司（梯次功能）,echelon,汕头,0,881.7926551703057,1500.0,0.5878617701135371,116.6775856,23.3563921
scale_stress_combo,osrm,P10,广州广汽商贸再生资源有限公司,echelon,广州,0,1500.0,1500.0,1.0,113.2589581,23.1288429
scale_stress_combo,osrm,P11,深圳市杰成镍钴新能源科技有限公司,echelon,深圳,0,1500.0,1500.0,1.0,114.0545429,22.5445741
scale_stress_combo,osrm,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,958.9973551689964,1500.0,0.6393315701126643,114.0545429,22.5445741
scale_stress_combo,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,3990.0385906301303,8000.0,0.4987548238287663,115.3492668,22.838065
scale_stress_combo,osrm,P20R,广东金晟新能源股份有限公司（再生功能）,recycling,肇庆,0,5000.0,5000.0,1.0,112.4603629,23.0501661
transport_low,osrm,P11,深圳市杰成镍钴新能源科技有限公司,echelon,深圳,0,1123.8466914362448,1500.0,0.7492311276241632,114.0545429,22.5445741
transport_low,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
transport_high,osrm,P11,深圳市杰成镍钴新能源科技有限公司,echelon,深圳,0,1123.846691436244,1500.0,0.7492311276241628,114.0545429,22.5445741
transport_high,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
transport_double,osrm,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,1123.8466914362446,1500.0,0.749231127624163,114.0545429,22.5445741
transport_double,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
transport_fivefold,osrm,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,823.8466914362473,1500.0,0.5492311276241648,114.0545429,22.5445741
transport_fivefold,osrm,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,299.9999999999983,1500.0,0.19999999999999887,112.4603629,23.0501661
transport_fivefold,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.143855524446,8000.0,0.2608929819405557,115.3492668,22.838065
radius_tight,osrm,P15,绿循新能源科技（佛山）有限责任公司,echelon,佛山,0,1011.093721543668,1500.0,0.674062481029112,113.1159558,23.0239788
radius_tight,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,1877.7454828668122,8000.0,0.2347181853583515,115.3492668,22.838065
radius_loose,osrm,P06,江门市朗达锂电池有限公司,echelon,江门,0,1160.597489628821,1500.0,0.7737316597525473,113.0761073,22.5816619
radius_loose,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2155.395337882096,8000.0,0.269424417235262,115.3492668,22.838065
