scenario,distance_source,spatial_weight_scheme,road_distance_factor,reuse_split_scope,objective_mode,solver_status,termination_condition,solve_seconds,potential_retired_tons,capture_rate,network_intake_tons,reuse_share,reuse_tons,recycle_tons,normal_network_reuse_tons,normal_network_recycle_tons,emergency_tons,emergency_share,total_cost_yuan,unit_cost_yuan_per_intake_ton,collection_count,self_build_count,entrusted_count,echelon_count,recycling_count,p01_selected,p01_expansion_level,first_stage_avg_km,second_stage_avg_km,total_tonne_km,allowed_source_collection_arcs,allowed_collection_echelon_arcs,allowed_collection_recycling_arcs,allowed_arc_count,binary_variable_count,continuous_variable_count,constraint_count,validation_passed
baseline,osrm,s3,1.0,network,lexicographic,ok,optimal,0.36870870005805045,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362443,2087.1438555244545,305.5934530393013,0.08690065502183407,68822508.30221942,19570.841561646026,3,1,2,1,1,True,,75.9397423207775,122.06448747085327,635789.7101191602,113,241,112,466,68,953,229,True
proxy_baseline,proxy,s3,1.0,network,lexicographic,ok,optimal,0.4449941999046132,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650654,2111.62116130655,267.9360595283843,0.07619213973799127,65754214.29524426,18698.320385705065,4,1,3,1,1,True,,71.8090040470786,125.24888609240695,640171.7089553217,115,240,110,465,68,951,229,True
split_node_legacy,osrm,s3,1.0,node,lexicographic,ok,optimal,0.30615439999382943,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362446,2087.1438555244545,305.5934530393013,0.08690065502183407,68877336.1519796,19586.43278590234,3,1,2,1,1,True,,75.9397423207775,156.9115445713619,747683.2810582932,113,241,112,466,68,953,311,True
local_generic,osrm,s3,1.0,network,lexicographic,ok,optimal,1.029589300043881,8791.46,1.0,8791.46,0.35,3077.0109999999995,5714.449,3077.0109999999995,5714.4490000000005,0.0,0.0,100046697.06892698,11379.986608473107,3,3,0,3,2,False,,84.7617578977073,0.0,745179.6040873778,441,357,147,945,68,1911,250,True
local_capture,osrm,s3,1.0,network,lexicographic,ok,optimal,0.3233128000283614,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1230.8044000000002,2285.7796,0.0,0.0,41161853.74512847,11705.067686461767,3,3,0,1,1,False,,79.55590221609225,7.034684796381944,304503.07283867453,441,357,147,945,68,1911,250,True
local_arcs,osrm,s3,1.0,network,lexicographic,ok,optimal,0.2185995999025181,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466896862442,2087.1438522744543,305.5934530393013,0.08690065502183407,68470881.87191437,19470.850652768248,3,3,0,1,1,False,,65.99766598279739,85.6582973935608,486965.864791704,113,241,112,466,68,953,250,True
local_ownership,osrm,s3,1.0,network,lexicographic,ok,optimal,0.32250739994924515,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362443,2087.1438555244545,305.5934530393013,0.08690065502183407,67927706.77494852,19316.389648291788,3,1,2,1,1,False,,71.3464509049393,81.50957695461507,490819.2605029902,113,241,112,466,68,953,229,True
demand_low,osrm,s3,1.0,network,lexicographic,ok,optimal,0.40274580009281635,3592.88,0.4,1437.152,0.35,503.0032,934.1488,420.8774941275109,781.6296319510918,234.64487392139742,0.16327074235807862,39395994.01206619,27412.545097572278,3,0,3,1,1,True,,66.03243638988688,94.70746569003664,193290.87769628485,113,241,112,466,68,953,229,True
demand_high,osrm,s3,1.0,network,lexicographic,ok,optimal,1.6563715999945998,23257.320000000003,0.4,9302.928000000002,0.35,3256.0248000000006,6046.903200000002,3227.193340226201,5993.359060420088,82.37559935371179,0.00885480349344978,114613622.13192582,12320.166525197852,6,3,3,3,1,True,,69.1976477338155,115.4924005554784,1702944.2681293278,113,241,112,466,68,953,229,True
spatial_s1,osrm,s1,1.0,network,lexicographic,ok,optimal,0.4633603999391198,8791.460000000001,0.4,3516.5840000000003,0.35,1230.8044,2285.7796000000003,1189.727357105249,2209.4936631954624,117.36297969928836,0.033374143685829305,52475953.890723236,14922.42297943778,4,1,3,1,1,True,,75.68747634501776,159.3085939021472,798803.581672226,113,241,112,466,68,953,229,True
