scenario,option_id,collection_id,city,mode,throughput_tons,capacity_tons,utilization,lon,lat
baseline,C02_S,C02,深圳,self_build,2342.4287197554586,3000.0,0.7808095732518195,114.0545429,22.5445741
baseline,C08_E,C08,梅州,entrusted,306.219220716157,3000.0,0.10207307357205234,116.1171428,24.2918414
baseline,C09_E,C09,惠州,entrusted,300.0,3000.0,0.1,114.4127007,23.1125153
baseline,C17_E,C17,肇庆,entrusted,299.99999999999994,3000.0,0.09999999999999998,112.4603629,23.0501661
split_node_legacy,C08_E,C08,梅州,entrusted,306.219220716157,3000.0,0.10207307357205234,116.1171428,24.2918414
split_node_legacy,C09_S,C09,惠州,self_build,2342.4287197554586,3000.0,0.7808095732518195,114.4127007,23.1125153
split_node_legacy,C11_E,C11,东莞,entrusted,300.00000000000006,3000.0,0.10000000000000002,113.7452332,23.0183568
split_node_legacy,C17_E,C17,肇庆,entrusted,300.0,3000.0,0.1,112.4603629,23.0501661
local_generic,C02_S,C02,深圳,self_build,3000.0,3000.0,1.0,114.0545429,22.5445741
local_generic,C05_S,C05,佛山,self_build,2999.999999999999,3000.0,0.9999999999999997,113.1159558,23.0239788
local_generic,C13_S,C13,江门,self_build,2791.4599999999996,3000.0,0.9304866666666666,113.0761073,22.5816619
local_capture,C01_S,C01,广州,self_build,300.0,3000.0,0.1,113.2589581,23.1288429
local_capture,C02_S,C02,深圳,self_build,1230.8044,3000.0,0.41026813333333334,114.0545429,22.5445741
local_capture,C05_S,C05,佛山,self_build,1985.7796,3000.0,0.6619265333333334,113.1159558,23.0239788
local_arcs,C05_S,C05,佛山,self_build,1811.6211567565497,3000.0,0.6038737189188499,113.1159558,23.0239788
local_arcs,C08_S,C08,梅州,self_build,306.21921571615724,3000.0,0.10207307190538574,116.1171428,24.2918414
local_arcs,C09_S,C09,惠州,self_build,830.8075609989086,3000.0,0.27693585366630286,114.4127007,23.1125153
local_arcs,C17_S,C17,肇庆,self_build,300.00000000000017,3000.0,0.10000000000000006,112.4603629,23.0501661
local_ownership,C05_S,C05,佛山,self_build,2342.4287197554586,3000.0,0.7808095732518195,113.1159558,23.0239788
local_ownership,C08_E,C08,梅州,entrusted,306.219220716157,3000.0,0.10207307357205234,116.1171428,24.2918414
local_ownership,C09_E,C09,惠州,entrusted,300.0,3000.0,0.1,114.4127007,23.1125153
local_ownership,C17_E,C17,肇庆,entrusted,300.0000000000001,3000.0,0.10000000000000003,112.4603629,23.0501661
demand_low,C02_E,C02,深圳,entrusted,481.629631951092,3000.0,0.160543210650364,114.0545429,22.5445741
