scenario,facility_id,name,type,city,existing,throughput_tons,capacity_tons,utilization,lon,lat
baseline,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1137.0267791650654,1500.0,0.7580178527767102,114.0545429,22.5445741
baseline,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
split_node_legacy,P05,惠州市恒创睿能环保科技有限公司,echelon,惠州,0,1137.0267791650654,1500.0,0.7580178527767102,114.4127007,23.1125153
split_node_legacy,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
local_generic,P11,深圳市杰成镍钴新能源科技有限公司,echelon,深圳,0,1427.010999999999,1500.0,0.9513406666666661,114.0545429,22.5445741
local_generic,P14,格林美（深圳）循环科技有限公司,echelon,深圳,0,149.99999999999946,1500.0,0.09999999999999964,114.0545429,22.5445741
local_generic,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,1500.0,1500.0,1.0,114.0545429,22.5445741
local_generic,P12,江门市恒创睿能环保科技有限公司,recycling,江门,0,2714.4489999999983,5000.0,0.5428897999999996,113.0761073,22.5816619
local_generic,P21R,广东瑞科美电源技术有限公司（再生功能）,recycling,佛山,0,3000.000000000001,5000.0,0.6000000000000002,113.1159558,23.0239788
local_capture,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1230.8044000000002,1500.0,0.8205362666666668,114.0545429,22.5445741
local_capture,P21R,广东瑞科美电源技术有限公司（再生功能）,recycling,佛山,0,2285.7796,5000.0,0.45715592,113.1159558,23.0239788
local_arcs,P18,中商锂新能源科技（惠州）有限公司,echelon,惠州,0,1137.0267767150654,1500.0,0.7580178511433769,114.4127007,23.1125153
local_arcs,P21R,广东瑞科美电源技术有限公司（再生功能）,recycling,佛山,0,2111.6211567565497,5000.0,0.4223242313513099,113.1159558,23.0239788
local_ownership,P18,中商锂新能源科技（惠州）有限公司,echelon,惠州,0,1137.0267791650654,1500.0,0.7580178527767102,114.4127007,23.1125153
local_ownership,P21R,广东瑞科美电源技术有限公司（再生功能）,recycling,佛山,0,2111.62116130655,5000.0,0.42232423226131005,113.1159558,23.0239788
demand_low,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,420.87749412751083,1500.0,0.2805849960850072,112.4603629,23.0501661
demand_low,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,781.6296319510919,8000.0,0.09770370399388649,115.3492668,22.838065
demand_high,P06,江门市朗达锂电池有限公司,echelon,江门,0,910.4664301310042,1500.0,0.6069776200873361,113.0761073,22.5816619
demand_high,P14,格林美（深圳）循环科技有限公司,echelon,深圳,0,816.7269100951962,1500.0,0.5444846067301308,114.0545429,22.5445741
demand_high,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,1500.0,1500.0,1.0,112.4603629,23.0501661
demand_high,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,5993.359060420088,8000.0,0.749169882552511,115.3492668,22.838065
spatial_s1,P06,江门市朗达锂电池有限公司,echelon,江门,0,1209.702225641742,1500.0,0.8064681504278279,113.0761073,22.5816619
spatial_s1,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2246.5898476203784,8000.0,0.2808237309525473,115.3492668,22.838065
spatial_s2,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,1118.7304934700303,1500.0,0.7458203289800202,114.0545429,22.5445741
spatial_s2,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2077.642345015787,8000.0,0.2597052931269734,115.3492668,22.838065
capture_low,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,514.9250259572052,1500.0,0.3432833506381368,112.4603629,23.0501661
capture_low,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,956.2893339205199,8000.0,0.11953616674006498,115.3492668,22.838065
capture_high,P10,广州广汽商贸再生资源有限公司,echelon,广州,0,1174.6627044884265,1500.0,0.783108469658951,113.2589581,23.1288429
capture_high,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,655.19609886026,1500.0,0.43679739924017336,112.4603629,23.0501661
capture_high,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,3398.309206218995,8000.0,0.4247886507773744,115.3492668,22.838065
scale_low_combo,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,251.5016,1500.0,0.16766773333333332,112.4603629,23.0501661
scale_low_combo,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,467.0744000000001,8000.0,0.05838430000000001,115.3492668,22.838065
scale_stress_combo,P10,广州广汽商贸再生资源有限公司,echelon,广州,0,1500.0,1500.0,1.0,113.2589581,23.1288429
scale_stress_combo,P11,深圳市杰成镍钴新能源科技有限公司,echelon,深圳,0,1401.1384241471656,1500.0,0.9340922827647771,114.0545429,22.5445741
scale_stress_combo,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,1500.0,1500.0,1.0,114.0545429,22.5445741
scale_stress_combo,P21E,广东瑞科美电源技术有限公司（梯次功能）,echelon,佛山,0,439.65158619214753,1500.0,0.29310105746143167,113.1159558,23.0239788
