scenario,spatial_weight_scheme,road_distance_factor,reuse_split_scope,objective_mode,solver_status,termination_condition,solve_seconds,potential_retired_tons,capture_rate,network_intake_tons,reuse_share,reuse_tons,recycle_tons,normal_network_reuse_tons,normal_network_recycle_tons,emergency_tons,emergency_share,total_cost_yuan,unit_cost_yuan_per_intake_ton,collection_count,self_build_count,entrusted_count,echelon_count,recycling_count,p01_selected,p01_expansion_level,first_stage_avg_km,second_stage_avg_km,total_tonne_km,binary_variable_count,continuous_variable_count,constraint_count,validation_passed
baseline,s3,1.0,network,lexicographic,ok,optimal,0.6473244000226259,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650654,2111.62116130655,267.9360595283843,0.07619213973799127,65754214.29524426,18698.320385705065,4,1,3,1,1,True,,71.8090040470786,125.24888609240695,640171.7089553217,68,951,229,True
split_node_legacy,s3,1.0,node,lexicographic,ok,optimal,0.7403421999770217,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650654,2111.62116130655,267.9360595283843,0.07619213973799127,65797467.711417414,18710.620224461414,4,1,3,1,1,True,,102.09910721510333,122.13078786979376,728443.9868597174,68,951,311,True
local_generic,s3,1.0,network,lexicographic,ok,optimal,0.8003919000038877,8791.46,1.0,8791.46,0.35,3077.0109999999995,5714.449,3077.0109999999995,5714.448999999999,0.0,0.0,100045189.1102829,11379.815083078682,3,3,0,3,2,False,,83.35471369021677,1.0569923821346088,742102.1374668343,68,1911,250,True
local_capture,s3,1.0,network,lexicographic,ok,optimal,0.5579293000046164,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1230.8044000000002,2285.7796,0.0,0.0,41160885.40385888,11704.792322281759,3,3,0,1,1,False,,84.11350983265676,1.9151094655153893,302526.8661660434,68,1911,250,True
local_arcs,s3,1.0,network,lexicographic,ok,optimal,0.45487580000190064,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267767150654,2111.6211567565497,267.9360595283843,0.07619213973799127,65601777.00613761,18654.97227028776,4,4,0,1,1,False,,66.34220117429435,32.0439985087487,319622.1249711469,68,951,250,True
local_ownership,s3,1.0,network,lexicographic,ok,optimal,0.3214684000122361,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650647,2111.62116130655,267.9360595283843,0.07619213973799127,64826372.59040787,18434.47294033297,4,1,3,1,1,False,,73.58841975184937,58.08861431602704,427772.3255320175,68,951,229,True
demand_low,s3,1.0,network,lexicographic,ok,optimal,0.4178781000082381,3592.88,0.4,1437.152,0.35,503.0032,934.1488,420.87749412751083,781.6296319510919,234.64487392139742,0.16327074235807862,39395153.78904452,27411.96045306587,3,0,3,1,1,True,,63.454438789858344,95.85949181482538,191576.13683572417,68,951,229,True
demand_high,s3,1.0,network,lexicographic,ok,optimal,1.1940043999929912,23257.320000000003,0.4,9302.928000000002,0.35,3256.0248000000006,6046.903200000002,3227.193340226201,5993.359060420087,82.37559935371179,0.00885480349344978,114477197.06353018,12305.501780034218,5,3,2,3,1,True,,72.1294148849683,120.01989507731531,1771722.781255262,68,951,229,True
spatial_s1,s1,1.0,network,lexicographic,ok,optimal,0.7885687999660149,8791.460000000001,0.4,3516.5840000000003,0.35,1230.8044,2285.7796000000003,1209.7022256417404,2246.5898476203784,60.291926737879606,0.017145026746945218,47643816.46346602,13548.323163463752,5,1,4,1,1,True,,76.7960475116065,156.7076538917381,807056.9922377451,68,951,229,True
spatial_s2,s2,1.0,network,lexicographic,ok,optimal,0.8493794000241905,8791.460000000003,0.4,3516.584000000001,0.35,1230.8044000000004,2285.7796000000008,1118.7304934700323,2077.642345015787,320.2111615141752,0.09105744708904298,70424633.70809428,20026.432955417604,4,1,3,1,1,True,,72.69977087880228,126.20984317234561,635789.2876667877,68,951,229,True
